2026-08-27 17:30:46.236 INFO   Freerouting v2.2.4 (build-date: 2026-05-13)
2026-08-27 17:30:47.682 INFO   [DF4990\1FD94F] Job 'DF4990\1FD94F' started at 2026-08-27T17:30:47.682635132Z.
2026-08-27 17:30:48.154 INFO   New version available: v2.3.0
2026-08-27 17:30:49.239 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.240 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.240 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.241 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.241 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.242 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.242 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.242 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.243 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.243 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.244 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.244 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.244 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.245 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.246 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.246 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.247 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.247 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.248 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.248 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.248 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.249 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.249 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.250 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.250 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.250 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.251 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.251 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.253 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.255 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.255 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.256 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.256 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.256 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.257 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.257 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.257 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.258 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.258 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.259 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.259 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.259 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.260 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.260 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.260 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.261 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.261 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.261 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.262 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.262 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.262 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.263 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.263 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.264 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.264 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.264 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.265 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.265 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.265 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.266 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.266 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.267 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.267 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.267 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.268 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.268 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.269 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.269 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.269 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.270 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.270 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.271 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.271 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.272 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.272 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.273 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.273 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.273 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.274 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.274 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.274 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.275 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.275 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.275 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.276 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.276 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.276 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.277 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.277 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.277 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.278 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.278 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.278 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.278 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.279 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.279 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.279 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.280 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.280 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.280 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.281 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.281 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.281 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.282 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.282 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.282 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.283 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.283 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.283 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.284 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.284 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.284 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.285 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.285 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.285 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.286 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.286 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.286 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.287 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.287 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.288 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.288 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.288 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.289 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.289 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.289 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.290 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.290 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.290 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.291 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.291 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.291 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.292 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.292 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.292 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.293 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.293 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.293 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.293 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.294 WARN   Polyline: must contain at least 2 different points
2026-08-27 17:30:49.294 WARN   Polyline: must contain at least 2 different points
